"Batch","Site","Transect","Date","Latitude","Longitude","Depth","Subregion","Zone","Habitat","Species","Width","Height","Bleaching","Old","Recent","oPercRecMort","dPercRecMort","TLRate","Disease Conditions","Other Conditions"
"FRRP 2005","A1145","1","8/31/2005","25.42251","-80.12545","12.1397","Biscayne","Forereef","SPGR_LR","PPOR","4","3","","0","0","","","","",""
"FRRP 2005","A1145","1","8/31/2005","25.42251","-80.12545","12.1397","Biscayne","Forereef","SPGR_LR","PPOR","4","4","P","50","0","","","","",""
"FRRP 2005","A1145","1","8/31/2005","25.42251","-80.12545","12.1397","Biscayne","Forereef","SPGR_LR","SRAD","6","3","P","60","0","","","","",""
"FRRP 2005","A1145","1","8/31/2005","25.42251","-80.12545","12.1397","Biscayne","Forereef","SPGR_LR","PAST","7","3","P","0","0","","","","",""
"FRRP 2005","A1145","1","8/31/2005","25.42251","-80.12545","12.1397","Biscayne","Forereef","SPGR_LR","PAST","6","4","P","0","0","","","","",""
"FRRP 2005","A1145","1","8/31/2005","25.42251","-80.12545","12.1397","Biscayne","Forereef","SPGR_LR","PAST","8","5","","75","0","","","","",""
"FRRP 2005","A1145","1","8/31/2005","25.42251","-80.12545","12.1397","Biscayne","Forereef","SPGR_LR","PAST","8","8","","40","0","","","","",""
"FRRP 2005","A1145","1","8/31/2005","25.42251","-80.12545","12.1397","Biscayne","Forereef","SPGR_LR","PAST","4","4","","0","0","","","","",""
"FRRP 2005","A1145","1","8/31/2005","25.42251","-80.12545","12.1397","Biscayne","Forereef","SPGR_LR","PPOR","4","2","","0","0","","","","",""
"FRRP 2005","A1145","1","8/31/2005","25.42251","-80.12545","12.1397","Biscayne","Forereef","SPGR_LR","PPOR","4","3","","90","0","","","","",""
"FRRP 2005","A1145","1","8/31/2005","25.42251","-80.12545","12.1397","Biscayne","Forereef","SPGR_LR","PPOR","5","3","","40","0","","","","",""
"FRRP 2005","A1145","1","8/31/2005","25.42251","-80.12545","12.1397","Biscayne","Forereef","SPGR_LR","PCLI","7","4","","0","0","","","","",""
"FRRP 2005","A1145","1","8/31/2005","25.42251","-80.12545","12.1397","Biscayne","Forereef","SPGR_LR","AAGA","5","3","BL","0","0","","","","",""
"FRRP 2005","A1145","1","8/31/2005","25.42251","-80.12545","12.1397","Biscayne","Forereef","SPGR_LR","PPOR","4","2","P","0","0","","","","",""
"FRRP 2005","A1145","1","8/31/2005","25.42251","-80.12545","12.1397","Biscayne","Forereef","SPGR_LR","SRAD","10","4","","0","0","","","","",""
"FRRP 2005","A1146","1","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","6","4","","0","0","","","","",""
"FRRP 2005","A1146","1","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","6","5","","0","0","","","","",""
"FRRP 2005","A1146","1","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","12","4","","0","0","","","","",""
"FRRP 2005","A1146","1","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","8","6","","0","0","","","","",""
"FRRP 2005","A1146","1","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","10","8","","0","0","","","","",""
"FRRP 2005","A1146","1","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","4","2","","0","0","","","","",""
"FRRP 2005","A1146","1","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","6","1","","0","0","","","","",""
"FRRP 2005","A1146","1","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","4","1","","0","0","","","","",""
"FRRP 2005","A1146","1","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","12","3","","0","0","","","","",""
